trial,ARI_dagger_values,eps,min_samples
39,0.2740091236592785,0.0362080524993602,5
40,0.489167193917194,0.016288352518002005,7
41,0.5482929292929294,0.031637881839149354,10
42,0.4751810966810966,0.04077495632577461,10
43,0.46528571428571425,0.046310907463238,10
44,0.512889665889666,0.0231732590563141,9
45,0.3411673881673882,0.052834573721681884,9
46,0.5583524808524809,0.029760077357932586,10
47,0.539463036963037,0.027445288998406328,10
48,0.035095238095238096,0.07510653747338203,6
49,0.5465912975912977,0.028882170767851222,9
0,0.1837871572871573,0.0819778773927525,15
1,0.5183672438672439,0.04113667424383995,14
2,0.23750937950937953,0.07235401592165563,13
4,0.03428571428571428,0.03205240885706579,36
5,0.3541349206349206,0.05727350244115225,11
6,0.13043939393939394,0.08245647062699897,13
7,0.29603174603174603,0.07284317347746172,17
8,0.4979790764790765,0.03933152782382586,19
9,0.13214285714285715,0.014585972931695682,12
10,0.06473214285714285,0.04573549060709731,48
11,0.3885244574020084,0.0397092726900862,24
12,0.4701587301587301,0.05576542099607752,23
13,0.2014751552795031,0.029630539524807473,23
14,0.5121904761904762,0.04353972554793403,20
15,0.20150793650793652,0.0986578673235176,28
16,0.14285714285714285,0.026528417004457617,40
17,0.4790714285714286,0.05050248114113244,20
18,0.4296031746031746,0.06278524945019166,27
19,0.10649686231081579,0.023154120645510375,20
20,0.24367559523809523,0.04212775386227098,31
21,0.5150194805194805,0.03516624136897089,17
22,0.5131522366522367,0.034962796761123335,16
23,0.49807142857142855,0.03180857589274712,16
24,0.46784021534021536,0.0205431478552207,10
26,0.45960317460317457,0.049685588632316924,25
27,0.5132279942279943,0.03361573111599616,15
28,0.05714285714285714,0.03658953277983399,50
29,0.3480952380952381,0.06504514881805293,14
30,0.49524891774891777,0.04764785498815376,18
31,0.5217099567099568,0.034626820343964644,15
32,0.5120109890109891,0.02502089937830001,10
33,0.5559920634920634,0.034861770203276195,14
34,0.17063492063492064,0.0181478437772284,14
35,0.48412698412698413,0.052485713771119095,22
36,0.5354675324675324,0.029811426607771332,12
37,0.02040816326530612,0.028582343481511924,38
38,0.5159191919191919,0.03975605469821977,12
39,0.3020687090687091,0.05938715076916849,10
40,0.4261883116883116,0.022001157456769338,12
41,0.5301904761904761,0.03940404209881812,13
42,0.5062359307359308,0.02999080985515795,14
43,0.506602453102453,0.044277304295943176,13
44,0.5347900432900433,0.03853364965015567,15
45,0.047619047619047616,0.037958326403014546,44
46,0.02857142857142857,0.015692039672697215,19
47,0.43227777777777776,0.02695223052161747,15
48,0.4816536796536796,0.045710127606172046,12
49,0.43583333333333335,0.04060895029274657,22
1,0.09707498383968974,0.0298572542257705,30
2,0.2772988677988678,0.056320473099422896,12
3,0.16368284493284493,0.06507971371490448,49
4,0.3656941391941391,0.03925547940832725,19
5,0.12864383678337166,0.052264467705413487,45
6,0.21398260073260073,0.09836406847699736,50
7,0.27220976302608957,0.02221242311716882,14
8,0.2680749250749251,0.06623747922494491,20
9,0.07142857142857142,0.028831422476165887,43
10,0.16637050892370042,0.04334801231909975,34
11,0.13875520188445883,0.08093620918518263,10
12,0.3608956043956043,0.045251727602981476,20
13,0.30269118636465575,0.04030718892623901,23
14,0.22396650968079537,0.04170911791347214,29
15,0.1,0.011964424877038936,17
16,0.2682362637362637,0.07401279695293936,29
17,0.3265173992673992,0.0504896339518614,24
18,0.39415066795949144,0.03359349526247474,16
19,0.33834432234432227,0.029137377507451392,16
20,0.07983453328280916,0.03374952148919325,37
21,0.11015911172161172,0.020842483586444055,19
22,0.20898931000971818,0.03749736087767761,26
23,0.3636793206793207,0.045921163255417376,15
24,0.2674124209124209,0.0591831503953998,14
25,0.43776648351648345,0.019571212745294792,10
26,0.4583250915750915,0.019922525196124342,10
27,0.45915537240537246,0.023058789708154098,11
28,0.46261080586080583,0.020040506410406642,10
29,0.09899267399267399,0.011541372338553927,10
30,0.17960408385940302,0.017664240773779587,13
31,0.506781746031746,0.023141546975685677,10
32,0.4615958485958486,0.024802901428723375,12
33,0.46701605257487605,0.026177696934600005,12
34,0.403588666235725,0.024845625971011302,13
35,0.08095238095238096,0.01401129285045832,17
36,0.4644819902319902,0.029845938346143762,12
37,0.34215384615384614,0.033214012867170656,18
38,0.1868521549372613,0.01659440927244216,12
39,0.40289865689865684,0.0273535240995268,14
40,0.3010805860805861,0.03559730920643411,21
41,0.46211324786324787,0.025073093443886058,12
42,0.4662887667887668,0.029752280216993186,12
43,0.386827677224736,0.028894720698356073,15
45,0.14420896563753705,0.016252645540667073,13
46,0.22708424908424907,0.09204034023052017,43
47,0.3557440745528981,0.04743040278729432,18
48,0.5188454045954046,0.03106177504559406,10
49,0.26349330941167676,0.039982325499682045,25
0,0.3211904761904762,0.031567126858333475,18
